Protein,Degree,Degree_Centrality,Betweenness_Centrality,Closeness_Centrality,Eigenvector_Centrality
A0A024RBG1,1,5.48666739822232e-05,0.0,0.21155323546915902,4.845423946732171e-05
Q8NFP7,9,0.0004938000658400088,0.00011546823948143798,0.26964232947692385,0.0038239378818025406
A0A096LP01,2,0.0001097333479644464,2.3829932313653065e-08,0.2165318172972057,3.175594248634996e-05
Q53H12,3,0.0001646000219466696,5.430930147838013e-05,0.27225733665368185,0.0011168922190955342
Q02978,8,0.0004389333918577856,8.064642422950744e-05,0.2774627999567165,0.0013877164180231278
A0A0B4J2F0,1,5.48666739822232e-05,0.0,0.15900275793621874,3.0561484219594887e-08
Q96S66,2,0.0001097333479644464,0.0001077524277186136,0.1897218916512848,2.376781140722335e-06
A0A0U1RQF7,10,0.000548666739822232,3.595032690471038e-06,0.2667082320108437,0.003139181612597396
Q9H6L4,77,0.0042247338966311864,0.0005456887830699223,0.3064063956700987,0.026648797016499897
Q9NPB3,40,0.002194666959288928,9.711807856033e-05,0.28081459243326373,0.009704193133247704
P27658,76,0.004169867222648963,0.0009701649139806454,0.30221734864417044,0.029636054731946075
O43559,118,0.006474267529902338,0.0006277007684170259,0.30775859103126824,0.04274868870133514
Q63ZY3,219,0.012015801602106881,0.003972887498714356,0.3291801154524231,0.06743496707142366
P41271-2,19,0.0010424668056622408,0.0002450077540061951,0.29420820691508065,0.004141720624158132
Q9BUZ4,121,0.006638867551849007,0.002316127734339648,0.31710463413313805,0.028703901310967977
Q86VK4-3,50,0.00274333369911116,0.00028697422512907083,0.3034384077570708,0.01457574423911197
A0A0U1RRE5,2,0.0001097333479644464,0.0,0.21049658422358317,1.6428974915645913e-05
Q9NPI6,19,0.0010424668056622408,0.000832698675524631,0.2672395313887944,0.0012713576627539983
Q6P2E9,9,0.0004938000658400088,0.0004437448162827054,0.21918654523258888,2.4507344148156862e-05
A0A1B0GUV7,4,0.0002194666959288928,2.4020891152598204e-06,0.23973397571356383,0.0003791968233579048
Q53EP0-3,47,0.0025787336771644904,0.00043668094453149707,0.29004685300641214,0.00868084185526482
Q14696,78,0.0042796005706134095,0.0024611089931035317,0.29648646664066053,0.008725228312763678
Q8N8Z8,7,0.0003840667178755624,3.4380497747612495e-05,0.27345624161545,0.00409523352376063
A0A455ZAR2,2,0.0001097333479644464,4.646297484430519e-07,0.21431110001778628,2.2366165146277576e-05
Q08050,14,0.0007681334357511248,0.00013736690735248821,0.2611749319887426,0.001072455702536169
Q8N7H5,13,0.0007132667617689016,0.000228096060077586,0.25526819411225954,0.0006917288725430994
