Protein,Degree,Degree_Centrality,Betweenness_Centrality,Closeness_Centrality,Eigenvector_Centrality
A0A0B4J2F0,1,5.49E-05,0,0.159002758,3.06E-08
Q96S66,2,0.000109733,0.000107752,0.189721892,2.38E-06
A0A0U1RRE5,2,0.000109733,0,0.210496584,1.64E-05
Q9NPI6,19,0.001042467,0.000832699,0.267239531,0.001271358
Q6P2E9,9,0.0004938,0.000443745,0.219186545,2.45E-05
A0AV02,1,5.49E-05,0,0.234306688,0.000254863
P26367,110,0.006035334,0.001871342,0.307731646,0.020104049
A0AV96,15,0.000823,1.42E-05,0.262489564,0.001414927
Q5SWW7,65,0.003566334,0.000240309,0.296706717,0.016641718
Q6P1W5,90,0.004938001,0.001007616,0.319735442,0.024289325
Q9UQM7,96,0.005267201,0.001915991,0.312853841,0.015672227
Q8N6W0,20,0.001097333,7.48E-06,0.272122433,0.011238979
B7ZLH0,16,0.000877867,4.96E-05,0.279354923,0.003473272
P32243-2,35,0.001920334,0.000693785,0.28517085,0.002751682
P57721-2,8,0.000438933,1.08E-05,0.261070175,0.00090013
Q9NZ81,50,0.002743334,0.000479948,0.299431579,0.014151806
Q9NWB1-5,24,0.0013168,8.38E-05,0.291306505,0.005867908
Q8TBY0,10,0.000548667,1.65E-05,0.267357434,0.002450042
Q66K41-2,6,0.0003292,1.31E-06,0.248750001,0.000862657
A0AVI4,3,0.0001646,5.48E-07,0.259309727,0.001294622
P04792,261,0.014320202,0.004546584,0.321178771,0.032174399
P02766,70,0.003840667,0.000707801,0.290454323,0.006465315
O76024,580,0.031822671,0.023809436,0.345739501,0.063426278
A0AVK6,22,0.001207067,0.00029233,0.303244678,0.006519881
P07550,29,0.001591134,0.000225551,0.273745893,0.002107294
Q92870-2,88,0.004828267,0.000680004,0.30517728,0.010548349
P46379-2,130,0.007132668,0.002193789,0.324775717,0.020558171
P55212,267,0.014649402,0.004486628,0.325208439,0.023109079
O14645,88,0.004828267,0.00059566,0.305942321,0.010115023
Q96AV8,1,5.49E-05,0,0.231696381,8.27E-05
P22607,399,0.021891803,0.00875068,0.327688585,0.042211451
Q13643,145,0.007955668,0.004587389,0.31790197,0.032219537
Q14957,141,0.007736201,0.001248149,0.299635792,0.016258619
P06396,258,0.014155602,0.004063238,0.316967369,0.026519568
P01112,156,0.008559201,0.002672911,0.305543384,0.019051065
P42858,992,0.054427741,0.081415684,0.376033782,0.0876796
O14901,281,0.015417535,0.00652977,0.326519617,0.030886792
Q6FHY5,488,0.026774937,0.029181939,0.348509476,0.075385088
Q7Z412,40,0.002194667,0.000280666,0.287038609,0.005239067
P37840,212,0.011631735,0.005741488,0.331865524,0.021241388
Q9UNE7,84,0.004608801,0.003369756,0.319004154,0.009785466
Q12800,67,0.003676067,0.00206269,0.291320992,0.006612852
Q9UMX0,343,0.018819269,0.013263184,0.329965055,0.026564805
Q9Y649,117,0.006419401,0.000737934,0.308287673,0.01556568
A0AVT1,1,5.49E-05,0,0.236871075,0.000375218
Q6NT76,113,0.006199934,0.001230532,0.312170293,0.02959097
A0FGR8,2,0.000109733,0,0.192914573,1.29E-06
Q9BSJ8,4,0.000219467,0.000646382,0.240074572,0.000100445
A0FGR9,2,0.000109733,0,0.192914573,1.29E-06
A0JLT2,14,0.000768133,6.33E-05,0.284713468,0.003835902
Q9NX70,17,0.000932733,0.000129284,0.26281931,0.001969729
Q86UW9,138,0.007571601,0.002242319,0.314792821,0.030665604
P62993,211,0.011576868,0.01202042,0.326004764,0.021813682
P50747,8,0.000438933,0.000121173,0.251275237,0.001147826
Q63ZY3,219,0.012015802,0.003972887,0.329180115,0.067434967
Q92993,258,0.014155602,0.009656557,0.340270274,0.040975857
Q8TAP4-4,194,0.010644135,0.002957099,0.323597607,0.03772862
Q14511-2,24,0.0013168,5.36E-05,0.286682743,0.007811205
P17252,94,0.005157467,0.000955467,0.297596038,0.006859102
Q0D2K3,50,0.002743334,0.000473572,0.297344277,0.013662783
Q15047-2,110,0.006035334,0.000696366,0.307629297,0.010065957
Q13148,267,0.014649402,0.007336109,0.323979405,0.028141063
P61981,195,0.010699001,0.004137292,0.311506289,0.013649055
P36508,95,0.005212334,0.001504701,0.304073688,0.020673198
A0JP26,8,0.000438933,6.90E-07,0.264341308,0.003458341
Q08AG9,17,0.000932733,9.46E-06,0.278297631,0.011108008
O95995,120,0.006584001,0.001222229,0.320955873,0.040160511
Q9BYQ6,77,0.004224734,0.000144472,0.300856638,0.036984387
Q9BYR2,66,0.0036212,0.000176488,0.294178658,0.031659446
P26371,207,0.011357402,0.002412381,0.323085981,0.073116677
Q9BYQ4,161,0.008833535,0.002263699,0.33258779,0.063327734
