Entry,Interacts with
A0A024R1R8,
A0A024RBG1,Q8NFP7
A0A075B6H7,
A0A075B6H8,
A0A075B6H9,
A0A075B6I0,
A0A075B6I1,
A0A075B6I3,
A0A075B6I4,
A0A075B6I6,
A0A075B6I7,
A0A075B6I9,
A0A075B6J1,
A0A075B6J2,
A0A075B6J6,
A0A075B6J9,
A0A075B6K0,
A0A075B6K2,
A0A075B6K4,
A0A075B6K5,
A0A075B6K6,
A0A075B6L2,
A0A075B6L6,
A0A075B6N1,
A0A075B6N2,
A0A075B6N3,
A0A075B6N4,
A0A075B6P5,
A0A075B6Q5,
A0A075B6R0,
A0A075B6R2,
A0A075B6R9,
A0A075B6S0,
A0A075B6S2,
A0A075B6S4,
A0A075B6S5,
A0A075B6S6,
A0A075B6S9,
A0A075B6T6,
A0A075B6T7,
A0A075B6T8,
A0A075B6U4,
A0A075B6V5,
A0A075B6W5,
A0A075B6X5,
A0A075B6Y3,
A0A075B6Y9,
A0A075B700,
A0A075B706,
A0A075B734,
A0A075B759,
A0A075B767,
A0A087WSX0,
A0A087WSY4,
A0A087WSY6,
A0A087WSZ0,
A0A087WSZ9,
A0A087WT01,
A0A087WT02,
A0A087WT03,
A0A087WTH1,
A0A087WUL8,
A0A087WUV0,
A0A087WV53,
A0A087WV62,
A0A087WVF3,
A0A087WW87,
A0A087WWA1,
A0A087WXM9,
A0A087WXS9,
A0A087X0K7,
A0A087X0M5,
A0A087X179,
A0A087X1C5,
A0A087X1G2,
A0A096LNP1,
A0A096LNW5,
A0A096LP01,Q53H12; Q02978
A0A096LP49,
A0A096LP55,
A0A096LPI5,
A0A096LPK9,
A0A0A0MRZ7,
A0A0A0MRZ8,
A0A0A0MRZ9,
A0A0A0MS00,
A0A0A0MS01,
A0A0A0MS02,
A0A0A0MS03,
A0A0A0MS04,
A0A0A0MS05,
A0A0A0MS06,
A0A0A0MS14,
A0A0A0MS15,
A0A0A0MT36,
A0A0A0MT70,
A0A0A0MT76,
A0A0A0MT78,
A0A0A0MT87,
A0A0A0MT89,
A0A0A0MT94,
A0A0A0MTA4,
A0A0A0MTA7,
A0A0A6YYC5,
A0A0A6YYD4,
A0A0A6YYG2,
A0A0A6YYG3,
A0A0A6YYJ7,
A0A0A6YYK1,
A0A0A6YYK4,
A0A0A6YYK6,
A0A0A6YYK7,
A0A0A6YYL3,
A0A0B4J1U3,
A0A0B4J1U4,
A0A0B4J1U6,
A0A0B4J1U7,
A0A0B4J1V0,
A0A0B4J1V1,
A0A0B4J1V2,
A0A0B4J1V6,
A0A0B4J1V7,
A0A0B4J1W7,
A0A0B4J1X5,
A0A0B4J1X8,
A0A0B4J1Y8,
A0A0B4J1Y9,
A0A0B4J1Z2,
A0A0B4J200,
A0A0B4J234,
A0A0B4J235,
A0A0B4J237,
A0A0B4J238,
A0A0B4J240,
A0A0B4J241,
A0A0B4J244,
A0A0B4J245,
A0A0B4J248,
A0A0B4J249,
A0A0B4J262,
A0A0B4J263,
A0A0B4J264,
A0A0B4J265,
A0A0B4J266,
A0A0B4J268,
A0A0B4J271,
A0A0B4J272,
A0A0B4J273,
A0A0B4J274,
A0A0B4J275,
A0A0B4J276,
A0A0B4J277,
A0A0B4J279,
A0A0B4J280,
A0A0B4J2A2,
A0A0B4J2D9,
A0A0B4J2E0,
A0A0B4J2F0,Q96S66
A0A0B4J2H0,
A0A0C4DGP1,
A0A0C4DH24,
A0A0C4DH25,
A0A0C4DH26,
A0A0C4DH27,
A0A0C4DH28,
A0A0C4DH29,
A0A0C4DH30,
A0A0C4DH31,
A0A0C4DH32,
A0A0C4DH33,
A0A0C4DH34,
A0A0C4DH35,
A0A0C4DH36,
A0A0C4DH38,
A0A0C4DH39,
A0A0C4DH41,
A0A0C4DH42,
A0A0C4DH43,
A0A0C4DH55,
A0A0C4DH59,
A0A0C4DH62,
A0A0C4DH67,
A0A0C4DH68,
A0A0C4DH69,
A0A0C4DH72,
A0A0C4DH73,
A0A0C5B5G6,
A0A0D9SF12,
A0A0G2JMD5,
A0A0G2JMI3,
A0A0G2JS06,
A0A0J9YVY3,
A0A0J9YWL9,
A0A0J9YWP8,
A0A0J9YWX3,
A0A0J9YX06,
A0A0J9YX35,
A0A0J9YX57,
A0A0J9YX75,
A0A0J9YX94,
A0A0J9YXA8,
A0A0J9YXG5,
A0A0J9YXM7,
A0A0J9YXQ4,
A0A0J9YXV3,
A0A0J9YXX1,
A0A0J9YXY3,
A0A0J9YY54,
A0A0K0K1A3,
A0A0K0K1A5,
A0A0K0K1B3,
A0A0K0K1C0,
A0A0K0K1C4,
A0A0K0K1D8,
A0A0K0K1E9,
A0A0K0K1G6,
A0A0K0K1G8,
A0A0K2S4Q6,
A0A0U1RQE8,
A0A0U1RQF7,Q9H6L4; Q9NPB3; P27658; O43559; Q63ZY3; P41271-2; Q9BUZ4; Q86VK4-3
A0A0U1RQG5,
A0A0U1RQI7,
A0A0U1RQS6,
A0A0U1RR11,
A0A0U1RR37,
A0A0U1RRA0,
A0A0U1RRE5,Q9NPI6; Q6P2E9
A0A0U1RRI6,
A0A0U1RRK4,
A0A0U1RRL7,
A0A0U1RRN3,
A0A0X1KG70,
A0A183,
A0A1B0GTB2,
A0A1B0GTC6,
A0A1B0GTD5,
A0A1B0GTH6,
A0A1B0GTH9,
A0A1B0GTI1,
A0A1B0GTI8,
A0A1B0GTJ6,
A0A1B0GTK4,
A0A1B0GTK5,
A0A1B0GTL2,
A0A1B0GTQ4,
A0A1B0GTR0,
A0A1B0GTR3,
A0A1B0GTR4,
A0A1B0GTS1,
A0A1B0GTU1,
A0A1B0GTU2,
A0A1B0GTW7,
A0A1B0GTY4,
A0A1B0GTZ2,
A0A1B0GU29,
A0A1B0GU33,
A0A1B0GU71,
A0A1B0GUA5,
A0A1B0GUA6,
A0A1B0GUA7,
A0A1B0GUA9,
A0A1B0GUC4,
A0A1B0GUI7,
A0A1B0GUJ8,
A0A1B0GUQ0,
A0A1B0GUS0,
A0A1B0GUS4,
A0A1B0GUT2,
A0A1B0GUU1,
A0A1B0GUV1,
A0A1B0GUV7,Q53EP0-3; Q14696; Q8N8Z8
A0A1B0GUW6,
A0A1B0GUW7,
A0A1B0GUX0,
A0A1B0GUY1,
A0A1B0GV03,
A0A1B0GV22,
A0A1B0GV85,
A0A1B0GV90,
A0A1B0GV96,
A0A1B0GVB3,
A0A1B0GVD1,
A0A1B0GVG4,
A0A1B0GVG6,
A0A1B0GVH4,
A0A1B0GVH6,
A0A1B0GVH7,
A0A1B0GVK7,
A0A1B0GVM5,
A0A1B0GVM6,
A0A1B0GVN3,
A0A1B0GVQ0,
A0A1B0GVQ3,
A0A1B0GVR7,
A0A1B0GVS7,
A0A1B0GVT2,
A0A1B0GVV1,
A0A1B0GVX0,
A0A1B0GVY4,
A0A1B0GVZ2,
A0A1B0GVZ6,
A0A1B0GVZ9,
A0A1B0GW35,
A0A1B0GW54,
A0A1B0GW64,
A0A1B0GWB2,
A0A1B0GWG4,
A0A1B0GWH4,
A0A1B0GWH6,
A0A1B0GWK0,
A0A1B0GX31,
A0A1B0GX49,
A0A1B0GX51,
A0A1B0GX56,
A0A1B0GX68,
A0A1B0GX78,
A0A1B0GX95,
A0A1B0GXF2,
A0A1W2PP81,
A0A1W2PP97,
A0A1W2PPD8,
A0A1W2PPE2,
A0A1W2PPE3,
A0A1W2PPF3,
A0A1W2PPG7,
A0A1W2PPH5,
A0A1W2PPK0,
A0A1W2PPL8,
A0A1W2PPM1,
A0A1W2PPW3,
A0A1W2PQ09,
A0A1W2PQ27,
A0A1W2PQ64,
A0A1W2PQ72,
A0A1W2PQ73,
A0A1W2PQC6,
A0A1W2PQD8,
A0A1W2PQJ5,
A0A1W2PQL4,
A0A1W2PQU2,
A0A1W2PR19,
A0A1W2PR48,
A0A1W2PR64,
A0A1W2PR75,
A0A1W2PR82,
A0A1W2PR95,
A0A1W2PRP0,
A0A1W2PRV1,
A0A1W2PS18,
A0A286YEV6,
A0A286YEX9,
A0A286YEY9,
A0A286YF01,
A0A286YF18,
A0A286YF46,
