AAC_E,AAC_Q,AAC_K,AAC_M,AAC_V,AAC_G,AAC_D,AAC_I,AAC_N,GO_Essential_Score,Degree_Centrality,Betweenness_Centrality,Eigenvector_Centrality,Instability_Index,Net_Charge_pH7,AAC_P,AAC_S,AAC_W,TARGET
4.620462046,4.95049505,1.320132013,1.320132013,9.240924092,6.600660066,2.97029703,0.99009901,2.640264026,4.0,0.0,0.0,0.0,56.14917492,10.54399629,6.600660066,8.250825083,0.660066007,1
4.848484848,3.636363636,9.090909091,1.212121212,6.666666667,8.484848485,6.060606061,10.3030303,4.242424242,11.0,0.0001097333479644,0.0003232211569507,7.278513629352766e-06,46.96727273,6.83695576,6.666666667,6.060606061,0.606060606,1
6.852791878,2.538071066,8.375634518,4.060913706,8.629441624,4.568527919,6.345177665,5.837563452,3.807106599,0.0,0.00049380006584,1.2018814180719622e-05,0.0010951436627536,46.3015736,-2.500771508,4.568527919,6.345177665,1.269035533,0
10.81081081,6.756756757,6.94980695,2.123552124,3.474903475,5.598455598,2.895752896,3.667953668,3.088803089,2.0,0.0003292000438933,3.961085264286245e-06,0.0014430369067688,57.11332046,-0.236849771,7.142857143,5.019305019,1.158301158,0
0.909090909,4.545454545,2.727272727,3.636363636,7.272727273,3.636363636,6.363636364,3.636363636,2.727272727,0.0,0.0001646000219466,0.0001077736014554,0.0017005621178855,41.79463636,2.627845174,7.272727273,5.454545455,0.909090909,0
8.139534884,3.720930233,6.976744186,2.558139535,6.046511628,9.069767442,3.488372093,7.209302326,3.023255814,2.0,0.0001097333479644,1.85952679135211e-07,0.0001268652554033,37.40793023,1.9860185,3.255813953,6.744186047,1.627906977,0
5.114638448,4.761904762,4.938271605,0.352733686,3.174603175,7.407407407,2.998236332,1.940035273,1.234567901,4.0,5.48666739822232e-05,0.0,7.230066679582738e-05,70.47636684,54.79385206,10.2292769,5.291005291,0.881834215,0
9.665427509,2.230483271,3.717472119,1.858736059,4.832713755,11.52416357,4.089219331,5.576208178,1.115241636,0.0,0.0002743333699111,6.537794850877733e-07,0.000348075335241,54.47472119,3.074712208,7.434944238,7.063197026,1.486988848,1
4.679802956,8.866995074,3.9408867,1.724137931,4.679802956,8.374384236,4.679802956,1.97044335,2.463054187,0.0,0.0001097333479644,1.4240598487396958e-06,0.0002091905807258,51.75591133,8.053607363,5.665024631,7.881773399,2.463054187,0
4.273504274,5.128205128,3.205128205,1.923076923,4.914529915,7.692307692,3.846153846,1.923076923,1.068376068,4.0,0.0002743333699111,3.967073023613596e-06,0.0012837288754378,77.12542735,16.49554498,10.04273504,13.03418803,0.427350427,0
6.486486486,5.405405405,2.162162162,1.621621622,9.189189189,8.108108108,2.162162162,3.783783784,1.621621622,0.0,0.0034017337868978,0.0014415587212416,0.0042313122965091,44.16216216,-0.24072614,4.324324324,5.945945946,2.162162162,1
8.684210526,4.649122807,5.263157895,2.543859649,5.877192982,3.859649123,6.315789474,4.561403509,3.245614035,0.0,5.48666739822232e-05,0.0,0.0007024644361508,51.98966667,-41.42672404,4.561403509,8.157894737,1.315789474,1
4.966139955,3.611738149,3.386004515,2.031602709,4.740406321,7.787810384,3.724604966,2.708803612,4.514672686,4.0,0.0,0.0,0.0,59.2373702,26.75411437,9.255079007,12.41534989,0.902934537,1
7.472826087,5.027173913,7.744565217,2.581521739,5.163043478,5.027173913,3.804347826,6.25,5.434782609,0.0,0.0002743333699111,0.0001386498994272,0.0001973112383939,44.60002717,9.574424958,5.163043478,6.52173913,1.494565217,1
5.263157895,3.684210526,4.912280702,1.403508772,6.49122807,5.964912281,3.859649123,6.315789474,3.50877193,6.0,0.0002194666959288,1.4045614098136302e-05,0.0006063020777354,43.14368421,-2.028963913,4.035087719,9.298245614,0.877192982,0
10.69518717,4.278074866,6.595365419,1.426024955,5.258467023,5.436720143,5.971479501,5.258467023,5.525846702,0.0,0.0,0.0,0.0,49.68905526,-64.80215411,4.278074866,11.76470588,0.891265597,1
4.428904429,7.226107226,6.993006993,7.925407925,5.827505828,8.624708625,3.962703963,3.03030303,4.662004662,2.0,0.0006584000877866,2.688306554481176e-06,0.0031101780701309,58.34757576,7.644651795,8.624708625,8.391608392,1.398601399,0
