AAC_E,AAC_Q,AAC_K,AAC_M,AAC_V,AAC_G,AAC_D,AAC_I,AAC_N,GO_Essential_Score,Degree_Centrality,Betweenness_Centrality,Eigenvector_Centrality,Instability_Index,Net_Charge_pH7,AAC_P,AAC_S,AAC_W,TARGET
4.620462046,4.95049505,1.320132013,1.320132013,9.240924092,6.600660066,2.97029703,0.99009901,2.640264026,4.0,0.0,0.0,0.0,56.14917492,10.54399629,6.600660066,8.250825083,0.660066007,1
4.848484848,3.636363636,9.090909091,1.212121212,6.666666667,8.484848485,6.060606061,10.3030303,4.242424242,11.0,0.0001097333479644,0.0003232211569507,7.278513629352766e-06,46.96727273,6.83695576,6.666666667,6.060606061,0.606060606,1
13.09734513,3.185840708,1.769911504,1.681415929,5.221238938,8.14159292,3.628318584,2.03539823,1.238938053,4.0,0.00049380006584,0.0001608039884905,0.000374152683138,82.70663717,-120.5425238,14.33628319,8.761061947,0.353982301,0
7.395993837,5.392912173,9.244992296,3.389830508,5.855161787,4.776579353,4.930662558,6.317411402,4.930662558,11.0,0.0001646000219466,2.620443426095379e-06,0.0001472883537141,40.7403698,4.719357136,2.619414484,7.550077042,1.078582435,0
4.102564103,5.641025641,3.076923077,2.051282051,5.128205128,4.615384615,4.102564103,3.58974359,5.641025641,0.0,0.00049380006584,5.2410462094878016e-05,0.0004980373513444,60.76512821,-4.348432848,4.102564103,13.84615385,3.58974359,0
6.278026906,4.035874439,5.381165919,0.896860987,8.520179372,6.726457399,4.035874439,6.278026906,4.035874439,2.0,0.0003292000438933,0.0002252994776375,0.000398623386586,40.1735426,-2.145383247,5.829596413,8.520179372,2.69058296,0
6.344410876,2.719033233,3.021148036,2.416918429,6.042296073,8.157099698,3.32326284,2.114803625,3.32326284,0.0,0.0001097333479644,5.224978075345421e-06,4.165411288140028e-05,36.9021148,-1.597473078,4.531722054,7.250755287,3.32326284,0
9.665427509,2.230483271,3.717472119,1.858736059,4.832713755,11.52416357,4.089219331,5.576208178,1.115241636,0.0,0.0002743333699111,6.537794850877733e-07,0.000348075335241,54.47472119,3.074712208,7.434944238,7.063197026,1.486988848,1
7.251264755,5.396290051,5.564924115,2.192242833,7.41989882,5.733558179,4.047217538,5.059021922,4.384485666,0.0,0.0025787336771644,0.0002980497563938,0.0019499816422956,40.76544688,3.889563876,5.564924115,5.564924115,1.517706577,0
6.284153005,4.098360656,6.284153005,3.278688525,7.37704918,10.6557377,4.098360656,8.469945355,3.278688525,9.0,5.48666739822232e-05,0.0,3.489380898512381e-05,33.54562842,1.985602917,4.644808743,4.371584699,0.0,0
6.486486486,5.405405405,2.162162162,1.621621622,9.189189189,8.108108108,2.162162162,3.783783784,1.621621622,0.0,0.0034017337868978,0.0014415587212416,0.0042313122965091,44.16216216,-0.24072614,4.324324324,5.945945946,2.162162162,1
8.684210526,4.649122807,5.263157895,2.543859649,5.877192982,3.859649123,6.315789474,4.561403509,3.245614035,0.0,5.48666739822232e-05,0.0,0.0007024644361508,51.98966667,-41.42672404,4.561403509,8.157894737,1.315789474,1
4.966139955,3.611738149,3.386004515,2.031602709,4.740406321,7.787810384,3.724604966,2.708803612,4.514672686,4.0,0.0,0.0,0.0,59.2373702,26.75411437,9.255079007,12.41534989,0.902934537,1
7.472826087,5.027173913,7.744565217,2.581521739,5.163043478,5.027173913,3.804347826,6.25,5.434782609,0.0,0.0002743333699111,0.0001386498994272,0.0001973112383939,44.60002717,9.574424958,5.163043478,6.52173913,1.494565217,1
13.86594968,6.12636835,5.665450355,0.460917995,5.377376608,6.087958517,8.526982908,0.845016324,0.403303246,0.0,0.0,0.0,0.0,76.16948723,-447.4175589,7.777991166,10.02496639,0.0,0
10.69518717,4.278074866,6.595365419,1.426024955,5.258467023,5.436720143,5.971479501,5.258467023,5.525846702,0.0,0.0,0.0,0.0,49.68905526,-64.80215411,4.278074866,11.76470588,0.891265597,1
7.317073171,4.87804878,0.609756098,2.43902439,6.097560976,4.268292683,2.43902439,1.219512195,1.219512195,0.0,0.0010973334796444,0.0001109157777521,0.000893849066534,75.18292683,-4.079176737,8.536585366,10.36585366,0.609756098,0
