,Label
Label,1.0
AAC_R,0.39841789309215486
AAC_E,0.37245071765871607
AAC_P,0.3614621827035648
AAC_Q,0.18591400757873877
AAC_G,0.18097511500109834
AAC_A,0.1783852946833217
AAC_H,0.14771731548833014
AAC_S,0.13602984313057653
PCP_Z1,0.10093281504268793
AAC_K,0.08554039049428173
PCP_Z5,0.07314662279697812
AAC_W,0.05625206232312222
AAC_D,0.049498747569386395
PCP_AL,0.03717826232026164
SER_F,0.03570020189443051
PCP_Z4,0.03309080335004133
SER_Y,0.026101029847183092
PCP_SA_EX,0.025814591031231585
SER_C,0.0256172706106724
AAC_M,0.024837589951290137
PCP_SS_HE,0.02424987412438823
PCP_HX,0.02020365869006825
SER_W,0.019924570627107258
SER_I,0.017892504306489216
PCP_PC,0.014935675440446895
PCP_PO,0.012122017240665223
PCP_NP,0.009669024636113598
SER_V,0.00824654782188663
PCP_NT,0.0075456381888178055
PCP_LR,0.0065871174743406995
SER_Q,0.005260021395964004
PCP_HL,0.0037744748424410044
PCP_AC,0.003576967207609219
PCP_NE_pH,0.003423372874837153
PCP_TN,0.0012277620910660198
PCP_NC,0.0009067503690796438
SER_N,-0.0010901879536440963
SER_T,-0.0017944947286048295
SER_H,-0.0018120947160781475
SER_E,-0.001931504418597387
PCP_BS,-0.0030086522413298785
SER_L,-0.004465501785092441
PCP_SC,-0.004993250434148127
SER_G,-0.0052713118264957675
PCP_Z3,-0.006638429783094127
SER_K,-0.007644146198164489
PCP_Z2,-0.007946076911364912
PCP_SS_CO,-0.011588270541006137
SER_S,-0.012944388740845166
PCP_SA_IN,-0.013667110772242174
PCP_AR,-0.013862960172109019
PCP_CY,-0.015726340977429174
PCP_SM,-0.019399662014599407
SER_P,-0.020834769331555328
SEP,-0.02115556737052376
PCP_SA_BU,-0.02318242738597991
PCP_HB,-0.023534413415237914
PCP_SS_ST,-0.026755769611232674
SER_M,-0.027033136299065324
SER_A,-0.02892277670999482
PCP_NE,-0.029890254156711815
SER_D,-0.031331849597267175
SER_R,-0.03407977659994793
AAC_L,-0.08395944026467916
AAC_C,-0.15182488307011832
AAC_V,-0.2599240511498456
AAC_I,-0.2724694739433656
AAC_F,-0.2752877727004316
AAC_N,-0.27965515972815813
AAC_Y,-0.3734971768799431
AAC_T,-0.4101147441451442
