,Label
Label,1.0
Loc_Nucleus,0.30670679473614626
AAC_K,0.26386103600623345
Closeness_Centrality,0.25618363266977345
AAC_D,0.2026364058040088
AAC_E,0.17755586880335975
Loc_Mitochondria,0.1213434289474673
AAC_R,0.10242565417590462
Loc_Cytoplasm,0.08700804943426407
AAC_I,0.07062927514788281
AAC_M,0.05370156510311601
AAC_V,0.038526959999210644
AAC_A,0.03337257499001758
PCP_Charge,0.03224019737237033
Degree_Centrality,0.028076710234431188
AAC_N,0.02067390931635371
Eigenvector_Centrality,0.016716836874418724
AAC_Q,0.0048277416869326436
Betweenness_Centrality,0.003422223391471956
Protein_Length,-0.014065711718357715
SER_Entropy,-0.018118074941644927
AAC_Y,-0.03802381985269568
AAC_G,-0.05510829962094067
AAC_T,-0.0882209914388145
AAC_L,-0.10274629501336645
AAC_H,-0.11101068157583416
AAC_P,-0.11248073151791434
AAC_F,-0.1192468141741969
AAC_C,-0.13481948709402045
Aromaticity,-0.14494714578341059
AAC_S,-0.1677113659578739
Loc_Secreted,-0.17194165140907205
PCP_Hydrophobicity,-0.173208722213109
AAC_W,-0.1797072017871011
Loc_Membrane,-0.24614683264394946
