Molecular_Weight,Isoelectric_Point,Aromaticity,Instability_Index,Aliphatic_Index,Net_Charge_pH7,Hydrophobicity_GRAVY,Positive_Residues,Negative_Residues,Shannon_Entropy,AAC_Q,AAC_R,AAC_H,AAC_M,AAC_G,AAC_L,AAC_W,AAC_C,AAC_P,AAC_S,AAC_I,AAC_K,AAC_A,AAC_E,AAC_V,AAC_F,AAC_Y,AAC_D,AAC_T,AAC_N,Degree,Degree_Centrality,Betweenness_Centrality,Closeness_Centrality,Eigenvector_Centrality,GO_Essential_Score,TARGET
33232.4103,9.889015007,0.079207921,56.14917492,83.72937294,10.54399629,-0.18019802,45,23,3.985447005,4.95049505,9.570957096,3.96039604,1.320132013,6.600660066,10.56105611,0.660066007,1.320132013,6.600660066,8.250825083,0.99009901,1.320132013,11.88118812,4.620462046,9.240924092,4.620462046,2.640264026,2.97029703,5.280528053,2.640264026,0.0,0.0,0.0,0.0,0.0,4.0,1
17818.3788,9.481188011,0.024242424,46.96727273,94.0,6.83695576,-0.346666667,29,18,4.042495558,3.636363636,6.060606061,2.424242424,1.212121212,8.484848485,6.666666667,0.606060606,1.818181818,6.666666667,6.060606061,10.3030303,9.090909091,8.484848485,4.848484848,6.666666667,1.212121212,0.606060606,6.060606061,4.848484848,4.242424242,2.0,0.0001097333479644,0.0003232211569507,0.2135740271453911,7.278513629352766e-06,11.0,1
119698.2431,4.291935158,0.032743363,82.70663717,83.51327434,-120.5425238,-0.322300885,87,189,3.820015896,3.185840708,4.159292035,1.769911504,1.681415929,8.14159292,13.36283186,0.353982301,1.946902655,14.33628319,8.761061947,2.03539823,1.769911504,8.318584071,13.09734513,5.221238938,2.03539823,0.884955752,3.628318584,4.07079646,1.238938053,9.0,0.00049380006584,0.0001608039884905,0.2497717285909395,0.000374152683138,4.0,0
73456.5638,8.125288963,0.080123267,40.7403698,81.61787365,4.719357136,-0.381818182,99,80,4.181970326,5.392912173,3.697996918,2.311248074,3.389830508,4.776579353,8.320493066,1.078582435,2.773497689,2.619414484,7.550077042,6.317411402,9.244992296,7.550077042,7.395993837,5.855161787,3.697996918,3.235747304,4.930662558,4.930662558,4.930662558,3.0,0.0001646000219466,2.620443426095379e-06,0.2365172176582171,0.0001472883537141,11.0,0
21830.6265,5.273544502,0.112820513,60.76512821,81.02564103,-4.348432848,-0.032307692,15,16,4.121250156,5.641025641,3.076923077,1.538461538,2.051282051,4.615384615,11.79487179,3.58974359,6.666666667,4.102564103,13.84615385,3.58974359,3.076923077,6.153846154,4.102564103,5.128205128,4.102564103,3.58974359,4.102564103,3.58974359,5.641025641,9.0,0.00049380006584,5.2410462094878016e-05,0.2596161854230708,0.0004980373513444,0.0,0
25386.7929,6.099073982,0.130044843,40.1735426,97.39910314,-2.145383247,-0.078475336,25,23,4.131387827,4.035874439,4.035874439,1.793721973,0.896860987,6.726457399,11.21076233,2.69058296,0.896860987,5.829596413,8.520179372,6.278026906,5.381165919,4.484304933,6.278026906,8.520179372,4.932735426,5.381165919,4.035874439,4.035874439,4.035874439,6.0,0.0003292000438933,0.0002252994776375,0.2626543338513281,0.000398623386586,2.0,0
36773.4642,6.594312096,0.114803625,36.9021148,75.2265861,-1.597473078,-0.117220544,41,32,4.159734268,2.719033233,6.042296073,3.32326284,2.416918429,8.157099698,9.96978852,3.32326284,3.32326284,4.531722054,7.250755287,2.114803625,3.021148036,10.57401813,6.344410876,6.042296073,5.438066465,2.719033233,3.32326284,6.042296073,3.32326284,2.0,0.0001097333479644,5.224978075345421e-06,0.2237863087184325,4.165411288140028e-05,0.0,0
29713.3137,8.923278618,0.055762082,54.47472119,75.42750929,3.074712208,-0.595910781,46,37,3.996440991,2.230483271,11.15241636,2.230483271,1.858736059,11.52416357,8.550185874,1.486988848,0.743494424,7.434944238,7.063197026,5.576208178,3.717472119,6.319702602,9.665427509,4.832713755,2.602230483,1.486988848,4.089219331,6.319702602,1.115241636,5.0,0.0002743333699111,6.537794850877733e-07,0.2343973167543649,0.000348075335241,0.0,1
68019.2323,8.189563942,0.101180438,40.76544688,85.44688027,3.889563876,-0.338279933,86,67,4.20097845,5.396290051,6.239460371,2.698145025,2.192242833,5.733558179,9.949409781,1.517706577,1.686340641,5.564924115,5.564924115,5.059021922,5.564924115,5.396290051,7.251264755,7.41989882,5.059021922,3.541315346,4.047217538,5.733558179,4.384485666,47.0,0.0025787336771644,0.0002980497563938,0.2725529059640892,0.0019499816422956,0.0,0
39336.3081,8.014081001,0.054644809,33.54562842,95.13661202,1.985602917,0.036065574,46,38,4.090818271,4.098360656,4.644808743,1.639344262,3.278688525,10.6557377,8.196721311,0.0,2.459016393,4.644808743,4.371584699,8.469945355,6.284153005,8.743169399,6.284153005,7.37704918,3.551912568,1.912568306,4.098360656,6.010928962,3.278688525,1.0,5.48666739822232e-05,0.0,0.2209946784997675,3.489380898512381e-05,9.0,0
20647.6839,6.828147697,0.124324324,44.16216216,102.2702703,-0.24072614,0.265945946,19,16,4.044107773,5.405405405,6.486486486,1.621621622,1.621621622,8.108108108,12.97297297,2.162162162,1.621621622,4.324324324,5.945945946,3.783783784,2.162162162,10.27027027,6.486486486,9.189189189,6.486486486,3.783783784,2.162162162,3.783783784,1.621621622,62.0,0.0034017337868978,0.0014415587212416,0.3000706693927963,0.0042313122965091,0.0,1
130833.5963,5.323278618,0.090350877,51.98966667,87.15789474,-41.42672404,-0.336052632,162,171,4.160176493,4.649122807,5.877192982,3.070175439,2.543859649,3.859649123,11.84210526,1.315789474,2.192982456,4.561403509,8.157894737,4.561403509,5.263157895,6.140350877,8.684210526,5.877192982,5.175438596,2.543859649,6.315789474,4.122807018,3.245614035,1.0,5.48666739822232e-05,0.0,0.2410327498410186,0.0007024644361508,0.0,1
97532.8261,9.34399929,0.079006772,59.2373702,64.18735892,26.75411437,-0.55282167,129,77,4.103199606,3.611738149,8.126410835,3.047404063,2.031602709,7.787810384,8.690744921,0.902934537,2.37020316,9.255079007,12.41534989,2.708803612,3.386004515,5.981941309,4.966139955,4.740406321,4.514672686,2.483069977,3.724604966,4.740406321,4.514672686,0.0,0.0,0.0,0.0,0.0,4.0,1
