Molecular_Weight,Isoelectric_Point,Aromaticity,Instability_Index,Aliphatic_Index,Net_Charge_pH7,Hydrophobicity_GRAVY,Positive_Residues,Negative_Residues,Shannon_Entropy,AAC_Q,AAC_R,AAC_H,AAC_M,AAC_G,AAC_L,AAC_W,AAC_C,AAC_P,AAC_S,AAC_I,AAC_K,AAC_A,AAC_E,AAC_V,AAC_F,AAC_Y,AAC_D,AAC_T,AAC_N,Degree,Degree_Centrality,Betweenness_Centrality,Closeness_Centrality,Eigenvector_Centrality,GO_Essential_Score,TARGET
33232.4103,9.889015007,0.079207921,56.14917492,83.72937294,10.54399629,-0.18019802,45,23,3.985447005,4.95049505,9.570957096,3.96039604,1.320132013,6.600660066,10.56105611,0.660066007,1.320132013,6.600660066,8.250825083,0.99009901,1.320132013,11.88118812,4.620462046,9.240924092,4.620462046,2.640264026,2.97029703,5.280528053,2.640264026,0.0,0.0,0.0,0.0,0.0,4.0,1
17818.3788,9.481188011,0.024242424,46.96727273,94.0,6.83695576,-0.346666667,29,18,4.042495558,3.636363636,6.060606061,2.424242424,1.212121212,8.484848485,6.666666667,0.606060606,1.818181818,6.666666667,6.060606061,10.3030303,9.090909091,8.484848485,4.848484848,6.666666667,1.212121212,0.606060606,6.060606061,4.848484848,4.242424242,2.0,0.0001097333479644,0.0003232211569507,0.2135740271453911,7.278513629352766e-06,11.0,1
46536.3059,5.369943428,0.085510689,47.26294537,89.14489311,-8.012993645,-0.185035629,48,51,4.095191356,3.562945368,5.463182898,1.187648456,2.375296912,6.175771971,10.45130641,1.90023753,0.475059382,5.463182898,10.6888361,4.038004751,4.750593824,7.83847981,6.413301663,8.551068884,3.800475059,2.850356295,5.700712589,4.750593824,3.562945368,0.0,0.0,0.0,0.0,0.0,0.0,0
20914.1798,11.95129414,0.052910053,74.14867725,81.74603175,28.90865648,-0.403703704,44,10,3.846805701,2.645502646,16.93121693,2.645502646,1.587301587,8.465608466,11.11111111,2.116402116,2.116402116,6.349206349,7.407407407,2.645502646,3.703703704,14.28571429,3.174603175,4.761904762,2.116402116,1.058201058,2.116402116,4.232804233,0.529100529,0.0,0.0,0.0,0.0,0.0,0.0,0
103356.1642,6.512804985,0.077419355,44.50765591,84.49462366,-2.995070102,-0.315483871,113,101,4.123740524,6.23655914,6.021505376,1.720430108,2.365591398,6.23655914,9.677419355,1.075268817,0.430107527,5.913978495,8.064516129,4.301075269,4.408602151,7.52688172,6.344086022,7.741935484,4.301075269,2.365591398,4.516129032,6.559139785,4.193548387,0.0,0.0,0.0,0.0,0.0,0.0,0
21040.2304,9.87096386,0.081967213,54.47868852,93.27868852,8.276566305,-0.201092896,30,13,4.148100893,6.557377049,7.103825137,4.918032787,3.278688525,4.918032787,12.02185792,2.18579235,1.639344262,4.918032787,7.650273224,7.103825137,4.371584699,6.010928962,5.464480874,4.371584699,4.918032787,1.092896175,1.639344262,5.464480874,4.371584699,0.0,0.0,0.0,0.0,0.0,0.0,0
87374.891,9.14376049,0.100942127,56.86648721,53.90309556,45.31900608,-0.993405114,173,83,4.106066964,5.114401077,6.056527591,6.460296097,0.538358008,4.441453567,6.729475101,0.67294751,6.056527591,2.69179004,9.555854643,3.768506057,10.76716016,2.422611036,8.613728129,3.633916555,3.903095559,5.518169583,2.557200538,5.921938089,4.576043069,0.0,0.0,0.0,0.0,0.0,4.0,0
29713.3137,8.923278618,0.055762082,54.47472119,75.42750929,3.074712208,-0.595910781,46,37,3.996440991,2.230483271,11.15241636,2.230483271,1.858736059,11.52416357,8.550185874,1.486988848,0.743494424,7.434944238,7.063197026,5.576208178,3.717472119,6.319702602,9.665427509,4.832713755,2.602230483,1.486988848,4.089219331,6.319702602,1.115241636,5.0,0.0002743333699111,6.537794850877733e-07,0.2343973167543649,0.000348075335241,0.0,1
30170.4389,8.925921822,0.085106383,56.2801773,64.39716312,4.750290506,-0.641134752,36,28,3.919772266,3.191489362,7.446808511,1.063829787,0.709219858,14.89361702,11.34751773,1.063829787,1.773049645,10.63829787,9.219858156,1.418439716,4.255319149,6.382978723,6.028368794,2.836879433,3.90070922,3.546099291,3.90070922,1.418439716,4.964539007,0.0,0.0,0.0,0.0,0.0,2.0,0
171589.1277,6.710036278,0.101241019,39.19573481,103.6446767,-2.38408693,0.148922273,173,152,4.149219308,3.919007185,4.506858263,1.63291966,2.54735467,5.682560418,11.82233834,1.959503592,1.63291966,3.788373612,8.360548661,6.596995428,5.160026127,7.184846506,5.486610059,8.491182234,4.964075767,3.200522534,4.441541476,5.029392554,3.592423253,0.0,0.0,0.0,0.0,0.0,2.0,0
20647.6839,6.828147697,0.124324324,44.16216216,102.2702703,-0.24072614,0.265945946,19,16,4.044107773,5.405405405,6.486486486,1.621621622,1.621621622,8.108108108,12.97297297,2.162162162,1.621621622,4.324324324,5.945945946,3.783783784,2.162162162,10.27027027,6.486486486,9.189189189,6.486486486,3.783783784,2.162162162,3.783783784,1.621621622,62.0,0.0034017337868978,0.0014415587212416,0.3000706693927963,0.0042313122965091,0.0,1
130833.5963,5.323278618,0.090350877,51.98966667,87.15789474,-41.42672404,-0.336052632,162,171,4.160176493,4.649122807,5.877192982,3.070175439,2.543859649,3.859649123,11.84210526,1.315789474,2.192982456,4.561403509,8.157894737,4.561403509,5.263157895,6.140350877,8.684210526,5.877192982,5.175438596,2.543859649,6.315789474,4.122807018,3.245614035,1.0,5.48666739822232e-05,0.0,0.2410327498410186,0.0007024644361508,0.0,1
97532.8261,9.34399929,0.079006772,59.2373702,64.18735892,26.75411437,-0.55282167,129,77,4.103199606,3.611738149,8.126410835,3.047404063,2.031602709,7.787810384,8.690744921,0.902934537,2.37020316,9.255079007,12.41534989,2.708803612,3.386004515,5.981941309,4.966139955,4.740406321,4.514672686,2.483069977,3.724604966,4.740406321,4.514672686,0.0,0.0,0.0,0.0,0.0,4.0,1
84347.0744,8.63001194,0.08423913,44.60002717,88.62771739,9.574424958,-0.430706522,115,83,4.184878624,5.027173913,4.619565217,3.260869565,2.581521739,5.027173913,11.27717391,1.494565217,1.630434783,5.163043478,6.52173913,6.25,7.744565217,5.298913043,7.472826087,5.163043478,3.125,3.804347826,3.804347826,5.298913043,5.434782609,5.0,0.0002743333699111,0.0001386498994272,0.2429084262682936,0.0001973112383939,0.0,1
