Protein,Gene Names,Degree_Centrality,Betweenness_Centrality,Closeness_Centrality,Eigenvector_Centrality,AAC_A,AAC_C,AAC_D,AAC_E,AAC_F,AAC_G,AAC_H,AAC_I,AAC_K,AAC_L,AAC_M,AAC_N,AAC_P,AAC_Q,AAC_R,AAC_S,AAC_T,AAC_V,AAC_W,AAC_Y,PCP_Hydrophobicity,PCP_Charge,SER_Entropy,Aromaticity,Protein_Length,Loc_Nucleus,Loc_Cytoplasm,Loc_Membrane,Loc_Mitochondria,Loc_Secreted,Label
O75175,CNOT3 KIAA0691 LENG2 NOT3,0.0007132667617689,0.0001983674516714,0.2541239075071724,0.0004507569377883,8.100929614873838,0.5312084993359893,5.179282868525896,7.3041168658698545,2.3904382470119523,6.640106241699867,2.5232403718459495,3.5856573705179287,6.772908366533864,6.772908366533864,1.593625498007968,3.718459495351926,10.756972111553784,5.444887118193891,3.851261620185923,11.155378486055776,5.577689243027888,4.249667994687915,0.9296148738379815,2.921646746347941,-0.7956175298804781,-0.01606905710491368,4.06952428505312,6.241699867197875,753.0,0,1,0,0,0,1
Q08AG7,MZT1 C13orf37 MOZART1,0.0002194666959288,3.909187732048942e-06,0.2308533066712885,0.0001868795200073,19.51219512195122,2.4390243902439024,2.4390243902439024,9.75609756097561,0.0,4.878048780487805,0.0,6.097560975609756,3.6585365853658534,12.195121951219512,4.878048780487805,6.097560975609756,1.2195121951219512,1.2195121951219512,4.878048780487805,9.75609756097561,6.097560975609756,4.878048780487805,0.0,0.0,0.2426829268292683,-0.036585365853658534,3.6648313963943333,0.0,82.0,0,1,0,0,0,1
P60174,TPI1 TPI,0.0001646000219466,3.12692073812149e-05,0.2771302681372963,0.0012411259047106,11.244979919678714,2.0080321285140563,4.819277108433735,6.827309236947792,3.2128514056224895,10.040160642570282,1.6064257028112447,6.024096385542169,8.032128514056225,6.024096385542169,1.2048192771084338,3.2128514056224895,4.016064257028113,4.417670682730924,3.2128514056224895,4.819277108433735,5.622489959839357,10.040160642570282,2.0080321285140563,1.6064257028112447,-0.1180722891566265,-0.002409638554216868,4.0783948577522455,6.827309236947792,249.0,0,1,0,0,0,1
B2RNN3,C1QTNF9B,5.48666739822232e-05,0.0,5.48666739822232e-05,3.2562770485477633e-31,3.903903903903904,1.2012012012012012,6.006006006006006,5.105105105105105,3.6036036036036037,20.12012012012012,2.1021021021021022,4.804804804804805,7.5075075075075075,6.606606606606606,1.2012012012012012,3.303303303303303,8.108108108108109,3.303303303303303,4.2042042042042045,5.105105105105105,5.7057057057057055,5.105105105105105,1.2012012012012012,1.8018018018018018,-0.5888888888888889,0.00810810810810811,3.970007140186995,6.606606606606606,333.0,0,0,0,0,1,0
A0A590UK83,SMIM45 LINC00634,0.0,0.0,0.0,0.0,4.411764705882353,1.4705882352941175,5.88235294117647,4.411764705882353,7.352941176470589,7.352941176470589,2.941176470588235,4.411764705882353,2.941176470588235,13.23529411764706,4.411764705882353,1.4705882352941175,7.352941176470589,2.941176470588235,7.352941176470589,1.4705882352941175,1.4705882352941175,11.76470588235294,2.941176470588235,4.411764705882353,0.2941176470588235,0.0029411764705882366,4.047134540933495,14.705882352941178,68.0,1,0,0,0,0,0
Q9P031,CCDC59 BR22 TAP26 HSPC128,0.0001097333479644,1.6439680723257353e-06,0.2183477725773241,4.822238195808577e-05,5.394190871369295,1.6597510373443984,2.4896265560165975,10.78838174273859,3.7344398340248963,3.7344398340248963,2.0746887966804977,3.319502074688797,14.522821576763487,6.224066390041494,1.2448132780082988,4.149377593360995,4.979253112033195,11.20331950207469,8.29875518672199,4.564315352697095,3.319502074688797,4.564315352697095,0.8298755186721992,2.904564315352697,-1.3634854771784233,0.09751037344398342,4.003359452330771,7.468879668049793,241.0,1,0,0,0,0,1
P50570,DNM2 DYN2,0.0079556677274223,0.0028405825239256,0.3162714397951717,0.0154889371244555,5.977011494252873,0.6896551724137931,6.091954022988506,7.011494252873564,3.5632183908045976,5.057471264367816,2.0689655172413794,7.35632183908046,5.977011494252873,9.770114942528735,2.1839080459770113,4.022988505747127,7.586206896551724,4.942528735632184,7.011494252873564,7.241379310344828,4.827586206896552,5.977011494252873,0.5747126436781609,2.0689655172413794,-0.43321839080459773,0.0009195402298850588,4.1191598104320555,6.206896551724138,870.0,0,1,0,0,0,1
Q9P0W0,IFNK UNQ6124/PRO20084,0.0,0.0,0.0,0.0,3.864734299516908,2.898550724637681,3.864734299516908,9.66183574879227,6.280193236714976,1.4492753623188406,2.4154589371980677,5.797101449275362,8.212560386473431,11.594202898550725,4.3478260869565215,5.314009661835748,2.898550724637681,6.280193236714976,7.246376811594203,5.797101449275362,2.898550724637681,2.898550724637681,1.932367149758454,4.3478260869565215,-0.5719806763285025,0.021739130434782608,4.1363157127442784,12.560386473429952,207.0,0,0,0,0,1,0
Q9BYQ6,KRTAP4-11 KAP4.14 KRTAP4-14 KRTAP4.11 KRTAP4.14,0.0042247338966311,0.0001444715152543,0.3008566384821617,0.0369843873171277,0.5128205128205128,35.38461538461539,0.5128205128205128,1.5384615384615385,0.0,2.051282051282051,1.5384615384615385,2.051282051282051,0.5128205128205128,1.5384615384615385,1.0256410256410255,0.5128205128205128,9.743589743589745,5.641025641025641,9.230769230769232,16.41025641025641,5.641025641025641,5.128205128205128,0.0,1.0256410256410255,0.15948717948717947,0.07846153846153846,3.0901564708549034,1.0256410256410255,195.0,0,0,0,0,0,1
Q4G0M1,ERFE C1QTNF15 CTRP15 FAM132B,0.0,0.0,0.0,0.0,13.841807909604519,1.694915254237288,3.389830508474576,5.649717514124294,2.5423728813559325,10.734463276836157,1.4124293785310735,1.694915254237288,2.5423728813559325,12.146892655367232,1.1299435028248588,1.694915254237288,12.146892655367232,2.5423728813559325,10.16949152542373,6.214689265536723,2.2598870056497176,5.932203389830509,0.5649717514124294,1.694915254237288,-0.22542372881355935,0.038135593220338986,3.833822821963597,4.80225988700565,354.0,0,0,0,0,1,0
