AAC_E,AAC_Q,AAC_K,AAC_M,AAC_V,AAC_G,AAC_D,AAC_I,AAC_N,GO_Essential_Score,Degree_Centrality,Betweenness_Centrality,Eigenvector_Centrality,Instability_Index,Net_Charge_pH7,AAC_P,AAC_S,AAC_W,TARGET
4.620462046,4.95049505,1.320132013,1.320132013,9.240924092,6.600660066,2.97029703,0.99009901,2.640264026,4.0,0.0,0.0,0.0,56.14917492,10.54399629,6.600660066,8.250825083,0.660066007,1
4.848484848,3.636363636,9.090909091,1.212121212,6.666666667,8.484848485,6.060606061,10.3030303,4.242424242,11.0,0.0001097333479644,0.0003232211569507,7.278513629352766e-06,46.96727273,6.83695576,6.666666667,6.060606061,0.606060606,1
6.413301663,3.562945368,4.750593824,2.375296912,8.551068884,6.175771971,5.700712589,4.038004751,3.562945368,0.0,0.0,0.0,0.0,47.26294537,-8.012993645,5.463182898,10.6888361,1.90023753,0
3.174603175,2.645502646,3.703703704,1.587301587,4.761904762,8.465608466,2.116402116,2.645502646,0.529100529,0.0,0.0,0.0,0.0,74.14867725,28.90865648,6.349206349,7.407407407,2.116402116,0
6.344086022,6.23655914,4.408602151,2.365591398,7.741935484,6.23655914,4.516129032,4.301075269,4.193548387,0.0,0.0,0.0,0.0,44.50765591,-2.995070102,5.913978495,8.064516129,1.075268817,0
5.464480874,6.557377049,4.371584699,3.278688525,4.371584699,4.918032787,1.639344262,7.103825137,4.371584699,0.0,0.0,0.0,0.0,54.47868852,8.276566305,4.918032787,7.650273224,2.18579235,0
8.613728129,5.114401077,10.76716016,0.538358008,3.633916555,4.441453567,2.557200538,3.768506057,4.576043069,4.0,0.0,0.0,0.0,56.86648721,45.31900608,2.69179004,9.555854643,0.67294751,0
9.665427509,2.230483271,3.717472119,1.858736059,4.832713755,11.52416357,4.089219331,5.576208178,1.115241636,0.0,0.0002743333699111,6.537794850877733e-07,0.000348075335241,54.47472119,3.074712208,7.434944238,7.063197026,1.486988848,1
6.028368794,3.191489362,4.255319149,0.709219858,2.836879433,14.89361702,3.90070922,1.418439716,4.964539007,2.0,0.0,0.0,0.0,56.2801773,4.750290506,10.63829787,9.219858156,1.063829787,0
5.486610059,3.919007185,5.160026127,2.54735467,8.491182234,5.682560418,4.441541476,6.596995428,3.592423253,2.0,0.0,0.0,0.0,39.19573481,-2.38408693,3.788373612,8.360548661,1.959503592,0
6.486486486,5.405405405,2.162162162,1.621621622,9.189189189,8.108108108,2.162162162,3.783783784,1.621621622,0.0,0.0034017337868978,0.0014415587212416,0.0042313122965091,44.16216216,-0.24072614,4.324324324,5.945945946,2.162162162,1
8.684210526,4.649122807,5.263157895,2.543859649,5.877192982,3.859649123,6.315789474,4.561403509,3.245614035,0.0,5.48666739822232e-05,0.0,0.0007024644361508,51.98966667,-41.42672404,4.561403509,8.157894737,1.315789474,1
4.966139955,3.611738149,3.386004515,2.031602709,4.740406321,7.787810384,3.724604966,2.708803612,4.514672686,4.0,0.0,0.0,0.0,59.2373702,26.75411437,9.255079007,12.41534989,0.902934537,1
7.472826087,5.027173913,7.744565217,2.581521739,5.163043478,5.027173913,3.804347826,6.25,5.434782609,0.0,0.0002743333699111,0.0001386498994272,0.0001973112383939,44.60002717,9.574424958,5.163043478,6.52173913,1.494565217,1
4.900938478,6.152241919,7.820646507,1.459854015,5.422314911,4.796663191,4.900938478,7.40354536,5.109489051,2.0,0.0,0.0,0.0,37.38948905,20.7516477,5.943691345,5.735140772,2.085505735,0
10.69518717,4.278074866,6.595365419,1.426024955,5.258467023,5.436720143,5.971479501,5.258467023,5.525846702,0.0,0.0,0.0,0.0,49.68905526,-64.80215411,4.278074866,11.76470588,0.891265597,1
6.790123457,5.761316872,2.880658436,1.851851852,7.818930041,6.995884774,4.320987654,2.674897119,1.851851852,2.0,0.0,0.0,0.0,54.38582305,-14.81467248,7.407407407,6.995884774,1.851851852,0
8.507670851,5.857740586,9.623430962,0.836820084,4.044630404,5.857740586,2.789400279,5.160390516,2.510460251,2.0,0.0,0.0,0.0,39.63542538,31.14509615,3.207810321,6.834030683,0.69735007,0
3.87409201,5.084745763,2.905569007,2.179176755,6.537530266,7.506053269,2.421307506,6.295399516,2.179176755,0.0,0.0,0.0,0.0,49.34263923,4.197041459,6.537530266,8.474576271,1.210653753,0
